Year,Month,Day,NorESM1-M
2037,1,22,3.99
2037,1,23,3.91
2037,1,24,3.84
2037,1,25,3.76
2037,1,26,3.71
2037,1,27,3.65
2037,1,28,3.58
2037,1,29,3.51
2037,1,30,3.46
2037,1,31,3.42
2037,2,1,3.36
2037,2,2,3.31
2037,2,3,3.25
2037,2,4,3.19
2037,2,5,3.12
2037,2,6,3.06
2037,2,7,3.01
2037,2,8,2.96
2037,2,9,2.92
2037,2,10,2.89
2037,2,11,4.35
2037,2,12,116.27
2037,2,13,86.03
2037,2,14,27.61
2037,2,15,11.31
2037,2,16,7.22
2037,2,17,6.21
2037,2,18,5.91
2037,2,19,5.77
2037,2,20,5.65
2037,2,21,105.04
2037,2,22,51.23
2037,2,23,22.32
2037,2,24,11.95
2037,2,25,8.79
2037,2,26,50.08
2037,2,27,127.37
2037,2,28,184.54
2037,3,1,188.00
2037,3,2,142.86
2037,3,3,82.24
2037,3,4,42.06
2037,3,5,25.55
2037,3,6,19.88
2037,3,7,18.01
2037,3,8,17.29
2037,3,9,16.90
2037,3,10,16.59
2037,3,11,16.29
2037,3,12,27.97
2037,3,13,18.05
2037,3,14,16.14
2037,3,15,57.58
2037,3,16,43.24
2037,3,17,55.14
2037,3,18,58.29
2037,3,19,46.49
2037,3,20,74.09
2037,3,21,211.25
2037,3,22,223.32
2037,3,23,144.69
2037,3,24,86.08
2037,3,25,130.47
2037,3,26,248.58
2037,3,27,257.87
2037,3,28,137.00
2037,3,29,70.89
2037,3,30,45.49
2037,3,31,107.25
2037,4,1,186.23
2037,4,2,137.81
2037,4,3,73.02
2037,4,4,48.04
2037,4,5,39.69
2037,4,6,79.36
2037,4,7,236.02
2037,4,8,253.08
2037,4,9,223.29
2037,4,10,131.05
2037,4,11,75.11
2037,4,12,53.64
2037,4,13,46.31
2037,4,14,43.68
2037,4,15,42.43
2037,4,16,41.59
2037,4,17,40.87
2037,4,18,40.16
2037,4,19,39.48
2037,4,20,191.42
2037,4,21,310.71
