Year,Month,Day,MIROC-ESM
1981,6,29,7.95
1981,6,30,7.81
1981,7,1,7.68
1981,7,2,7.55
1981,7,3,7.42
1981,7,4,7.29
1981,7,5,7.16
1981,7,6,7.05
1981,7,7,9.78
1981,7,8,7.32
1981,7,9,6.83
1981,7,10,6.65
1981,7,11,6.53
1981,7,12,6.42
1981,7,13,6.31
1981,7,14,6.20
1981,7,15,6.10
1981,7,16,5.99
1981,7,17,5.88
1981,7,18,5.79
1981,7,19,5.69
1981,7,20,5.59
1981,7,21,5.50
1981,7,22,5.42
1981,7,23,5.33
1981,7,24,5.23
1981,7,25,5.15
1981,7,26,5.07
1981,7,27,4.98
1981,7,28,4.89
1981,7,29,4.81
1981,7,30,4.73
1981,7,31,4.66
1981,8,1,4.58
1981,8,2,4.50
1981,8,3,11.67
1981,8,4,6.22
1981,8,5,4.79
1981,8,6,4.42
1981,8,7,4.28
1981,8,8,4.20
1981,8,9,4.13
1981,8,10,4.67
1981,8,11,7.29
1981,8,12,4.64
1981,8,13,4.05
1981,8,14,3.89
1981,8,15,3.81
1981,8,16,3.74
1981,8,17,3.67
1981,8,18,3.61
1981,8,19,3.54
1981,8,20,3.49
1981,8,21,3.43
1981,8,22,3.39
1981,8,23,3.33
1981,8,24,3.27
1981,8,25,3.22
1981,8,26,3.16
1981,8,27,3.12
1981,8,28,3.06
1981,8,29,3.01
1981,8,30,2.95
1981,8,31,4.26
1981,9,1,5.13
1981,9,2,3.40
1981,9,3,2.94
1981,9,4,2.81
1981,9,5,2.74
1981,9,6,2.69
1981,9,7,2.64
1981,9,8,2.60
1981,9,9,2.55
1981,9,10,2.50
1981,9,11,2.46
1981,9,12,2.43
1981,9,13,2.39
1981,9,14,2.36
1981,9,15,2.32
1981,9,16,2.28
1981,9,17,2.24
1981,9,18,2.20
1981,9,19,2.16
1981,9,20,2.13
1981,9,21,2.09
1981,9,22,2.06
1981,9,23,18.24
1981,9,24,5.55
1981,9,25,3.35
1981,9,26,2.51
1981,9,27,2.27
1981,9,28,18.84
1981,9,29,38.00
1981,9,30,45.67
1981,10,1,24.44
1981,10,2,7.58
1981,10,3,4.66
1981,10,4,8.20
1981,10,5,20.55
1981,10,6,41.50
1981,10,7,22.08
1981,10,8,8.38
1981,10,9,5.45
1981,10,10,4.80
1981,10,11,4.61
1981,10,12,4.51
1981,10,13,4.43
1981,10,14,29.67
1981,10,15,65.71
1981,10,16,63.13
1981,10,17,46.47
1981,10,18,36.48
1981,10,19,51.76
1981,10,20,32.92
1981,10,21,11.99
1981,10,22,8.80
1981,10,23,8.58
1981,10,24,9.41
1981,10,25,8.02
1981,10,26,7.65
1981,10,27,7.48
1981,10,28,7.34
1981,10,29,8.38
1981,10,30,9.06
1981,10,31,7.57
1981,11,1,7.05
1981,11,2,6.84
1981,11,3,6.70
1981,11,4,6.58
1981,11,5,6.47
1981,11,6,8.02
1981,11,7,6.63
1981,11,8,6.64
1981,11,9,6.23
1981,11,10,6.02
1981,11,11,5.90
1981,11,12,9.99
1981,11,13,16.50
1981,11,14,7.24
1981,11,15,6.33
1981,11,16,15.41
1981,11,17,32.50
1981,11,18,14.09
1981,11,19,7.37
1981,11,20,6.26
1981,11,21,8.96
1981,11,22,6.62
1981,11,23,5.99
1981,11,24,6.41
1981,11,25,5.65
1981,11,26,5.53
1981,11,27,34.10
1981,11,28,16.37
1981,11,29,7.68
1981,11,30,6.18
1981,12,1,5.79
1981,12,2,5.63
1981,12,3,5.53
1981,12,4,5.44
1981,12,5,5.34
1981,12,6,5.25
1981,12,7,5.17
1981,12,8,5.08
1981,12,9,4.99
1981,12,10,4.91
1981,12,11,4.83
1981,12,12,4.75
1981,12,13,4.67
1981,12,14,4.59
1981,12,15,4.52
1981,12,16,4.44
1981,12,17,4.37
1981,12,18,4.29
1981,12,19,4.22
1981,12,20,4.15
1981,12,21,4.08
1981,12,22,4.01
1981,12,23,3.95
1981,12,24,3.88
1981,12,25,3.82
1981,12,26,3.75
1981,12,27,3.69
1981,12,28,3.63
1981,12,29,3.57
1981,12,30,3.51
