Year,Month,Day,HadGEM2-ES
1981,6,9,37.29
1981,6,10,39.56
1981,6,11,69.80
1981,6,12,43.17
1981,6,13,29.53
1981,6,14,24.62
1981,6,15,22.94
1981,6,16,22.17
1981,6,17,21.71
1981,6,18,21.30
1981,6,19,35.63
1981,6,20,70.64
1981,6,21,41.71
1981,6,22,27.87
1981,6,23,22.84
1981,6,24,21.09
1981,6,25,20.36
1981,6,26,19.91
1981,6,27,19.51
1981,6,28,19.17
1981,6,29,18.85
1981,6,30,18.56
1981,7,1,18.29
1981,7,2,18.02
1981,7,3,17.74
1981,7,4,17.45
1981,7,5,17.15
1981,7,6,16.85
1981,7,7,16.58
1981,7,8,16.25
1981,7,9,15.96
1981,7,10,15.63
1981,7,11,15.33
1981,7,12,15.05
1981,7,13,14.79
1981,7,14,14.55
1981,7,15,14.30
1981,7,16,14.09
1981,7,17,13.84
1981,7,18,13.61
1981,7,19,13.40
1981,7,20,13.19
1981,7,21,12.98
1981,7,22,12.76
1981,7,23,12.54
1981,7,24,12.35
1981,7,25,12.16
1981,7,26,11.94
1981,7,27,11.72
1981,7,28,11.52
1981,7,29,11.31
1981,7,30,11.13
1981,7,31,10.95
1981,8,1,10.76
1981,8,2,10.56
1981,8,3,10.36
1981,8,4,10.17
1981,8,5,9.98
1981,8,6,9.80
1981,8,7,9.61
1981,8,8,9.46
1981,8,9,9.32
1981,8,10,9.19
1981,8,11,9.03
1981,8,12,8.85
1981,8,13,8.65
1981,8,14,8.51
1981,8,15,8.36
1981,8,16,8.24
1981,8,17,8.11
1981,8,18,7.96
1981,8,19,7.82
1981,8,20,7.68
1981,8,21,7.55
1981,8,22,7.45
1981,8,23,7.31
1981,8,24,7.19
1981,8,25,7.06
1981,8,26,6.96
1981,8,27,6.82
1981,8,28,6.69
1981,8,29,6.57
1981,8,30,6.47
1981,8,31,6.30
1981,9,1,6.18
1981,9,2,69.78
1981,9,3,148.38
1981,9,4,108.01
1981,9,5,50.39
1981,9,6,24.30
1981,9,7,15.02
1981,9,8,12.02
1981,9,9,11.04
1981,9,10,10.66
1981,9,11,10.45
1981,9,12,10.22
1981,9,13,10.05
1981,9,14,65.73
1981,9,15,277.62
1981,9,16,339.72
1981,9,17,276.40
1981,9,18,162.58
1981,9,19,65.36
1981,9,20,35.92
1981,9,21,27.73
1981,9,22,25.31
1981,9,23,24.43
1981,9,24,23.93
1981,9,25,23.53
1981,9,26,23.17
1981,9,27,22.80
1981,9,28,22.38
1981,9,29,21.99
1981,9,30,21.64
1981,10,1,21.27
1981,10,2,20.89
1981,10,3,20.58
1981,10,4,20.26
1981,10,5,19.91
1981,10,6,19.56
